pincode,locality,district,state,lat,lng,office_count
583229,Bevinhal,Koppal,Karnataka,15.607711,76.646063,13
583230,Arkeri,Koppal,Karnataka,15.434064,76.137746,8
583231,Koppal,Koppal,Karnataka,15.348550,76.153877,4
583232,Balgeri,Koppal,Karnataka,15.482596,75.963215,14
583233,Munirabad,Koppal,Karnataka,15.275701,76.324664,1
583234,Agalkera,Koppal,Karnataka,15.337130,76.320893,8
583235,Agoli,Koppal,Karnataka,15.450072,76.437437,7
583236,Chickmyageri,Koppal,Karnataka,15.581511,76.032287,8
583237,Gunhal,Koppal,Karnataka,15.599286,76.211436,10
583238,Bahaddurbandi,Koppal,Karnataka,15.368831,76.104877,10
583239,Kaddi Rampura,Ballari,Karnataka,15.298766,76.440672,4
583268,Danapur,Koppal,Karnataka,15.474040,76.572513,7
583275,Vidyanagar,Ballari,Karnataka,15.173192,76.628707,1
583276,K U Campus,Ballari,Karnataka,15.285806,76.490944,1
583277,Adavibhavi,Koppal,Karnataka,15.754790,76.177089,20
583278,Ballutagi,Koppal,Karnataka,15.868521,76.230735,11
583279,Huliyapur,Koppal,Karnataka,15.765655,76.397931,7
583280,Bilekal,Koppal,Karnataka,15.859564,75.891487,8
583281,Bandargallu,Koppal,Karnataka,15.890630,76.015711,12
583282,Bargoor,Koppal,Karnataka,15.529283,76.602875,7
583283,Chickdankankal,Koppal,Karnataka,15.570450,76.424351,11
583284,Ballutgi,Koppal,Karnataka,15.676960,75.922740,5
583285,Betgera,Koppal,Karnataka,15.277148,76.077261,8
583287,Chilakmukhi,Koppal,Karnataka,15.470546,76.227213,6
584101,Raichur,Raichur,Karnataka,16.202278,77.340650,5
584102,Atkur,Raichur,Karnataka,16.245100,77.473162,7
584103,Maliabad,Raichur,Karnataka,16.178402,77.366400,4
584104,Askihal,Raichur,Karnataka,16.169016,77.306591,6
584111,Arkera,Raichur,Karnataka,16.444181,76.936931,12
584113,Arshangi,Raichur,Karnataka,16.375000,77.140000,10
584115,Chincharki,Raichur,Karnataka,16.197194,76.680000,10
584116,Bendarganekal,Raichur,Karnataka,16.300000,76.830000,9
584118,Hokrani,Raichur,Karnataka,16.060000,77.120000,5
584120,Amingad,Raichur,Karnataka,16.100000,76.720000,11
584122,Anehosur,Raichur,Karnataka,16.120000,76.520000,17
584123,Aldhal,Raichur,Karnataka,15.984403,77.040000,16
584124,Gudadur,Raichur,Karnataka,15.910000,76.590000,7
584125,Amdhihal,Raichur,Karnataka,15.995000,76.375000,14
584126,Chickbudur,Raichur,Karnataka,16.320000,77.060000,8
584127,Chitapur,Raichur,Karnataka,16.208751,76.375205,9
584128,Alabanur,Raichur,Karnataka,15.766272,76.755722,27
584129,Alkod,Raichur,Karnataka,16.174417,76.954706,14
584132,Gunda,Raichur,Karnataka,15.775312,76.542601,9
584133,Julumgera,Raichur,Karnataka,16.099580,77.378345,7
584134,Chicksugur,Raichur,Karnataka,16.251705,77.348778,11
584135,Dongarampur,Raichur,Karnataka,16.271564,77.435368,7
584136,Athnur,Raichur,Karnataka,16.201639,77.110000,6
584138,Diddgi,Raichur,Karnataka,15.940000,76.830000,5
584139,Devarabhupur,Raichur,Karnataka,16.240000,76.670000,5
584140,Alkur,Raichur,Karnataka,15.970000,77.400000,9
584143,C.S. Farm,Raichur,Karnataka,15.890000,76.910000,11
584167,Budiwal Camp,Raichur,Karnataka,15.680000,76.810000,8
584170,Deosugur,Raichur,Karnataka,16.350479,77.352795,5
584202,Hanamapur,Raichur,Karnataka,16.000000,77.290000,7
584203,Aroli,Raichur,Karnataka,16.030000,77.250000,6
585101,Kalaburagi,Kalaburagi,Karnataka,17.341333,76.834472,3
585102,Bhopal Tegnoor,Kalaburagi,Karnataka,17.330000,76.840000,15
585103,Gb Sharannagar,Kalaburagi,Karnataka,17.330000,76.807458,6
585104,Asta,Kalaburagi,Karnataka,17.400000,76.837917,15
585105,Gb Santrashwadi,Kalaburagi,Karnataka,17.324292,76.848944,4
585106,GB Jnanaganga,Kalaburagi,Karnataka,17.313056,76.875611,1
585107,Kalaburagi HCB,Kalaburagi,Karnataka,17.678111,83.192516,1
585201,Yadgiri,Yadgir,Karnataka,17.080778,76.672653,2
585202,Allipur,Yadgir,Karnataka,16.785000,77.100000,20
585210,Kurkunta,Kalaburagi,Karnataka,16.950000,77.360000,3
585211,Alhalli,Kalaburagi,Karnataka,17.040000,77.100000,13
585212,Ankalgi,Kalaburagi,Karnataka,17.170000,76.500000,7
585213,Bommanhalli,Kalaburagi,Karnataka,17.345667,76.590000,12
585214,Budur,Kalaburagi,Karnataka,16.890000,77.392250,22
585215,Hebbal B,Yadgir,Karnataka,16.430000,76.550000,7
585216,Agni,Yadgir,Karnataka,16.650000,76.510000,17
585217,Hosurwadi,Kalaburagi,Karnataka,17.290000,76.155000,6
585218,Kanganhalli,Kalaburagi,Karnataka,16.920000,76.990000,10
585219,Narayanpur,Yadgir,Karnataka,16.761556,77.135306,1
585220,Devargonal,Yadgir,Karnataka,16.665778,76.927653,2
585221,Baddepalli,Yadgir,Karnataka,16.570000,77.255000,14
585222,Adki,Kalaburagi,Karnataka,17.080000,77.260000,15
585223,Adilapur,Yadgir,Karnataka,16.700000,76.910000,15
585224,Baichbal,Yadgir,Karnataka,16.528281,76.639101,11
585225,Belwadgi,Kalaburagi,Karnataka,17.050000,76.980000,9
585226,Aurad,Bidar,Karnataka,17.865139,77.456861,14
585227,Bemalkhed,Bidar,Karnataka,17.911639,77.519361,12
585228,Bhankur,Kalaburagi,Karnataka,17.145000,76.945000,14
585229,Shahabad ACC,Kalaburagi,Karnataka,17.341333,76.834472,1
585236,Arjunagi,Kalaburagi,Karnataka,17.415000,76.450000,12
585237,Bappargi,Yadgir,Karnataka,16.355000,76.360000,8
585265,Bandarwad,Kalaburagi,Karnataka,17.210000,76.600000,11
585287,Diggi,Yadgir,Karnataka,16.760000,76.820000,5
585290,Aldal,Yadgir,Karnataka,16.460000,76.660000,11
585291,Geddalmari,Yadgir,Karnataka,16.365000,76.515000,4
585292,Malkhed Road,Kalaburagi,Karnataka,17.341333,76.834472,1
585301,Ankalga,Kalaburagi,Karnataka,17.245000,76.400000,20
585302,Alund Bazar,Kalaburagi,Karnataka,17.560000,76.530000,27
585303,Biriyala B,Kalaburagi,Karnataka,16.925000,76.827236,6
585304,Birnoor,Yadgir,Karnataka,16.540000,76.850000,7
585305,Anwar,Kalaburagi,Karnataka,17.400000,77.425000,10
585306,Ainapur,Kalaburagi,Karnataka,17.520000,77.300000,13
585307,Chandrampalli,Kalaburagi,Karnataka,17.499350,77.414042,8
585308,Basavapattan,Kalaburagi,Karnataka,17.165000,76.785000,12
585309,Balbatti,Yadgir,Karnataka,16.720000,76.670000,9
